dimdateid,datetype,fulldate,yearnum,yearbegindate,yearenddate,daynumofweek,daynumofmonth,daynumofquarter,daynumofyear,dayofweekname,dayofweekabbreviation,juliandaynumofyear,isweekday,isfederalusholiday,holidaydescription,islastdayofweek,islastdayofmonth,islastdayofquarter,islastdayofyear,weekofyearbegindate,weekofyearenddate,weekofmonthbegindate,weekofmonthenddate,weekofquarterbegindate,weekofquarterenddate,weeknumofmonth,weeknumofquarter,weeknumofyear,monthname,monthnameabbreviation,monthbegindate,monthenddate,monthnumofyear,monthformatyyyymm,quarternumofyear,quarterbegindate,quarterenddate,quarterformatyyyyqq,quarterformatqq,fiscalmonthofyear,fiscalquarter,fiscalyear,fiscalyearmonthyyyymm,fiscalyearquarteryyyyqq
20100107,Normal,1/7/2010,2010,1/1/2010,12/31/2010,5,7,7,7,Thursday,Thu,2010007,Y,N,Not a Holiday,N,N,N,N,1/3/2010,1/9/2010,1/3/2010,1/9/2010,1/3/2010,1/9/2010,2,2,2,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100108,Normal,1/8/2010,2010,1/1/2010,12/31/2010,6,8,8,8,Friday,Fri,2010008,Y,N,Not a Holiday,N,N,N,N,1/3/2010,1/9/2010,1/3/2010,1/9/2010,1/3/2010,1/9/2010,2,2,2,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100109,Normal,1/9/2010,2010,1/1/2010,12/31/2010,7,9,9,9,Saturday,Sat,2010009,N,N,Not a Holiday,Y,N,N,N,1/3/2010,1/9/2010,1/3/2010,1/9/2010,1/3/2010,1/9/2010,2,2,2,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100110,Normal,1/10/2010,2010,1/1/2010,12/31/2010,1,10,10,10,Sunday,Sun,2010010,N,N,Not a Holiday,N,N,N,N,1/10/2010,1/16/2010,1/10/2010,1/16/2010,1/10/2010,1/16/2010,3,3,3,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100111,Normal,1/11/2010,2010,1/1/2010,12/31/2010,2,11,11,11,Monday,Mon,2010011,Y,N,Not a Holiday,N,N,N,N,1/10/2010,1/16/2010,1/10/2010,1/16/2010,1/10/2010,1/16/2010,3,3,3,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100112,Normal,1/12/2010,2010,1/1/2010,12/31/2010,3,12,12,12,Tuesday,Tue,2010012,Y,N,Not a Holiday,N,N,N,N,1/10/2010,1/16/2010,1/10/2010,1/16/2010,1/10/2010,1/16/2010,3,3,3,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100113,Normal,1/13/2010,2010,1/1/2010,12/31/2010,4,13,13,13,Wednesday,Wed,2010013,Y,N,Not a Holiday,N,N,N,N,1/10/2010,1/16/2010,1/10/2010,1/16/2010,1/10/2010,1/16/2010,3,3,3,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100114,Normal,1/14/2010,2010,1/1/2010,12/31/2010,5,14,14,14,Thursday,Thu,2010014,Y,N,Not a Holiday,N,N,N,N,1/10/2010,1/16/2010,1/10/2010,1/16/2010,1/10/2010,1/16/2010,3,3,3,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100115,Normal,1/15/2010,2010,1/1/2010,12/31/2010,6,15,15,15,Friday,Fri,2010015,Y,N,Not a Holiday,N,N,N,N,1/10/2010,1/16/2010,1/10/2010,1/16/2010,1/10/2010,1/16/2010,3,3,3,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100116,Normal,1/16/2010,2010,1/1/2010,12/31/2010,7,16,16,16,Saturday,Sat,2010016,N,N,Not a Holiday,Y,N,N,N,1/10/2010,1/16/2010,1/10/2010,1/16/2010,1/10/2010,1/16/2010,3,3,3,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100117,Normal,1/17/2010,2010,1/1/2010,12/31/2010,1,17,17,17,Sunday,Sun,2010017,N,N,Not a Holiday,N,N,N,N,1/17/2010,1/23/2010,1/17/2010,1/23/2010,1/17/2010,1/23/2010,4,4,4,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100118,Normal,1/18/2010,2010,1/1/2010,12/31/2010,2,18,18,18,Monday,Mon,2010018,Y,Y,Lee-Jackson-King,N,N,N,N,1/17/2010,1/23/2010,1/17/2010,1/23/2010,1/17/2010,1/23/2010,4,4,4,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100119,Normal,1/19/2010,2010,1/1/2010,12/31/2010,3,19,19,19,Tuesday,Tue,2010019,Y,N,Not a Holiday,N,N,N,N,1/17/2010,1/23/2010,1/17/2010,1/23/2010,1/17/2010,1/23/2010,4,4,4,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100120,Normal,1/20/2010,2010,1/1/2010,12/31/2010,4,20,20,20,Wednesday,Wed,2010020,Y,N,Not a Holiday,N,N,N,N,1/17/2010,1/23/2010,1/17/2010,1/23/2010,1/17/2010,1/23/2010,4,4,4,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100121,Normal,1/21/2010,2010,1/1/2010,12/31/2010,5,21,21,21,Thursday,Thu,2010021,Y,N,Not a Holiday,N,N,N,N,1/17/2010,1/23/2010,1/17/2010,1/23/2010,1/17/2010,1/23/2010,4,4,4,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100122,Normal,1/22/2010,2010,1/1/2010,12/31/2010,6,22,22,22,Friday,Fri,2010022,Y,N,Not a Holiday,N,N,N,N,1/17/2010,1/23/2010,1/17/2010,1/23/2010,1/17/2010,1/23/2010,4,4,4,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100123,Normal,1/23/2010,2010,1/1/2010,12/31/2010,7,23,23,23,Saturday,Sat,2010023,N,N,Not a Holiday,Y,N,N,N,1/17/2010,1/23/2010,1/17/2010,1/23/2010,1/17/2010,1/23/2010,4,4,4,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100124,Normal,1/24/2010,2010,1/1/2010,12/31/2010,1,24,24,24,Sunday,Sun,2010024,N,N,Not a Holiday,N,N,N,N,1/24/2010,1/30/2010,1/24/2010,1/30/2010,1/24/2010,1/30/2010,5,5,5,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100125,Normal,1/25/2010,2010,1/1/2010,12/31/2010,2,25,25,25,Monday,Mon,2010025,Y,N,Not a Holiday,N,N,N,N,1/24/2010,1/30/2010,1/24/2010,1/30/2010,1/24/2010,1/30/2010,5,5,5,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100126,Normal,1/26/2010,2010,1/1/2010,12/31/2010,3,26,26,26,Tuesday,Tue,2010026,Y,N,Not a Holiday,N,N,N,N,1/24/2010,1/30/2010,1/24/2010,1/30/2010,1/24/2010,1/30/2010,5,5,5,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100127,Normal,1/27/2010,2010,1/1/2010,12/31/2010,4,27,27,27,Wednesday,Wed,2010027,Y,N,Not a Holiday,N,N,N,N,1/24/2010,1/30/2010,1/24/2010,1/30/2010,1/24/2010,1/30/2010,5,5,5,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100128,Normal,1/28/2010,2010,1/1/2010,12/31/2010,5,28,28,28,Thursday,Thu,2010028,Y,N,Not a Holiday,N,N,N,N,1/24/2010,1/30/2010,1/24/2010,1/30/2010,1/24/2010,1/30/2010,5,5,5,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100129,Normal,1/29/2010,2010,1/1/2010,12/31/2010,6,29,29,29,Friday,Fri,2010029,Y,N,Not a Holiday,N,N,N,N,1/24/2010,1/30/2010,1/24/2010,1/30/2010,1/24/2010,1/30/2010,5,5,5,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100130,Normal,1/30/2010,2010,1/1/2010,12/31/2010,7,30,30,30,Saturday,Sat,2010030,N,N,Not a Holiday,Y,N,N,N,1/24/2010,1/30/2010,1/24/2010,1/30/2010,1/24/2010,1/30/2010,5,5,5,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100131,Normal,1/31/2010,2010,1/1/2010,12/31/2010,1,31,31,31,Sunday,Sun,2010031,N,N,Not a Holiday,N,Y,N,N,1/31/2010,2/6/2010,1/31/2010,1/31/2010,1/31/2010,2/6/2010,6,6,6,January,Jan,1/1/2010,1/31/2010,1,2010/01,1,1/1/2010,3/31/2010,2010Q1,Q1,4,2,2010,201004,2010Q2
20100201,Normal,2/1/2010,2010,1/1/2010,12/31/2010,2,1,32,32,Monday,Mon,2010032,Y,N,Not a Holiday,N,N,N,N,1/31/2010,2/6/2010,2/1/2010,2/6/2010,1/31/2010,2/6/2010,1,6,6,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100202,Normal,2/2/2010,2010,1/1/2010,12/31/2010,3,2,33,33,Tuesday,Tue,2010033,Y,N,Not a Holiday,N,N,N,N,1/31/2010,2/6/2010,2/1/2010,2/6/2010,1/31/2010,2/6/2010,1,6,6,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100203,Normal,2/3/2010,2010,1/1/2010,12/31/2010,4,3,34,34,Wednesday,Wed,2010034,Y,N,Not a Holiday,N,N,N,N,1/31/2010,2/6/2010,2/1/2010,2/6/2010,1/31/2010,2/6/2010,1,6,6,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100204,Normal,2/4/2010,2010,1/1/2010,12/31/2010,5,4,35,35,Thursday,Thu,2010035,Y,N,Not a Holiday,N,N,N,N,1/31/2010,2/6/2010,2/1/2010,2/6/2010,1/31/2010,2/6/2010,1,6,6,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100205,Normal,2/5/2010,2010,1/1/2010,12/31/2010,6,5,36,36,Friday,Fri,2010036,Y,N,Not a Holiday,N,N,N,N,1/31/2010,2/6/2010,2/1/2010,2/6/2010,1/31/2010,2/6/2010,1,6,6,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100206,Normal,2/6/2010,2010,1/1/2010,12/31/2010,7,6,37,37,Saturday,Sat,2010037,N,N,Not a Holiday,Y,N,N,N,1/31/2010,2/6/2010,2/1/2010,2/6/2010,1/31/2010,2/6/2010,1,6,6,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100207,Normal,2/7/2010,2010,1/1/2010,12/31/2010,1,7,38,38,Sunday,Sun,2010038,N,N,Not a Holiday,N,N,N,N,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2,7,7,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100208,Normal,2/8/2010,2010,1/1/2010,12/31/2010,2,8,39,39,Monday,Mon,2010039,Y,N,Not a Holiday,N,N,N,N,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2,7,7,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100209,Normal,2/9/2010,2010,1/1/2010,12/31/2010,3,9,40,40,Tuesday,Tue,2010040,Y,N,Not a Holiday,N,N,N,N,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2,7,7,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100210,Normal,2/10/2010,2010,1/1/2010,12/31/2010,4,10,41,41,Wednesday,Wed,2010041,Y,N,Not a Holiday,N,N,N,N,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2,7,7,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100211,Normal,2/11/2010,2010,1/1/2010,12/31/2010,5,11,42,42,Thursday,Thu,2010042,Y,N,Not a Holiday,N,N,N,N,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2,7,7,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100212,Normal,2/12/2010,2010,1/1/2010,12/31/2010,6,12,43,43,Friday,Fri,2010043,Y,N,Not a Holiday,N,N,N,N,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2,7,7,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100213,Normal,2/13/2010,2010,1/1/2010,12/31/2010,7,13,44,44,Saturday,Sat,2010044,N,N,Not a Holiday,Y,N,N,N,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2/7/2010,2/13/2010,2,7,7,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100214,Normal,2/14/2010,2010,1/1/2010,12/31/2010,1,14,45,45,Sunday,Sun,2010045,N,N,Not a Holiday,N,N,N,N,2/14/2010,2/20/2010,2/14/2010,2/20/2010,2/14/2010,2/20/2010,3,8,8,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100215,Normal,2/15/2010,2010,1/1/2010,12/31/2010,2,15,46,46,Monday,Mon,2010046,Y,N,Not a Holiday,N,N,N,N,2/14/2010,2/20/2010,2/14/2010,2/20/2010,2/14/2010,2/20/2010,3,8,8,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100216,Normal,2/16/2010,2010,1/1/2010,12/31/2010,3,16,47,47,Tuesday,Tue,2010047,Y,N,Not a Holiday,N,N,N,N,2/14/2010,2/20/2010,2/14/2010,2/20/2010,2/14/2010,2/20/2010,3,8,8,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100217,Normal,2/17/2010,2010,1/1/2010,12/31/2010,4,17,48,48,Wednesday,Wed,2010048,Y,N,Not a Holiday,N,N,N,N,2/14/2010,2/20/2010,2/14/2010,2/20/2010,2/14/2010,2/20/2010,3,8,8,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100218,Normal,2/18/2010,2010,1/1/2010,12/31/2010,5,18,49,49,Thursday,Thu,2010049,Y,N,Not a Holiday,N,N,N,N,2/14/2010,2/20/2010,2/14/2010,2/20/2010,2/14/2010,2/20/2010,3,8,8,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100219,Normal,2/19/2010,2010,1/1/2010,12/31/2010,6,19,50,50,Friday,Fri,2010050,Y,N,Not a Holiday,N,N,N,N,2/14/2010,2/20/2010,2/14/2010,2/20/2010,2/14/2010,2/20/2010,3,8,8,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100220,Normal,2/20/2010,2010,1/1/2010,12/31/2010,7,20,51,51,Saturday,Sat,2010051,N,N,Not a Holiday,Y,N,N,N,2/14/2010,2/20/2010,2/14/2010,2/20/2010,2/14/2010,2/20/2010,3,8,8,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100221,Normal,2/21/2010,2010,1/1/2010,12/31/2010,1,21,52,52,Sunday,Sun,2010052,N,N,Not a Holiday,N,N,N,N,2/21/2010,2/27/2010,2/21/2010,2/27/2010,2/21/2010,2/27/2010,4,9,9,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100222,Normal,2/22/2010,2010,1/1/2010,12/31/2010,2,22,53,53,Monday,Mon,2010053,Y,N,Not a Holiday,N,N,N,N,2/21/2010,2/27/2010,2/21/2010,2/27/2010,2/21/2010,2/27/2010,4,9,9,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100223,Normal,2/23/2010,2010,1/1/2010,12/31/2010,3,23,54,54,Tuesday,Tue,2010054,Y,N,Not a Holiday,N,N,N,N,2/21/2010,2/27/2010,2/21/2010,2/27/2010,2/21/2010,2/27/2010,4,9,9,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100224,Normal,2/24/2010,2010,1/1/2010,12/31/2010,4,24,55,55,Wednesday,Wed,2010055,Y,N,Not a Holiday,N,N,N,N,2/21/2010,2/27/2010,2/21/2010,2/27/2010,2/21/2010,2/27/2010,4,9,9,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100225,Normal,2/25/2010,2010,1/1/2010,12/31/2010,5,25,56,56,Thursday,Thu,2010056,Y,N,Not a Holiday,N,N,N,N,2/21/2010,2/27/2010,2/21/2010,2/27/2010,2/21/2010,2/27/2010,4,9,9,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100226,Normal,2/26/2010,2010,1/1/2010,12/31/2010,6,26,57,57,Friday,Fri,2010057,Y,N,Not a Holiday,N,N,N,N,2/21/2010,2/27/2010,2/21/2010,2/27/2010,2/21/2010,2/27/2010,4,9,9,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100227,Normal,2/27/2010,2010,1/1/2010,12/31/2010,7,27,58,58,Saturday,Sat,2010058,N,N,Not a Holiday,Y,N,N,N,2/21/2010,2/27/2010,2/21/2010,2/27/2010,2/21/2010,2/27/2010,4,9,9,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100228,Normal,2/28/2010,2010,1/1/2010,12/31/2010,1,28,59,59,Sunday,Sun,2010059,N,N,Not a Holiday,N,Y,N,N,2/28/2010,3/6/2010,2/28/2010,2/28/2010,2/28/2010,3/6/2010,5,10,10,February,Feb,2/1/2010,2/28/2010,2,2010/02,1,1/1/2010,3/31/2010,2010Q1,Q1,5,2,2010,201005,2010Q2
20100301,Normal,3/1/2010,2010,1/1/2010,12/31/2010,2,1,60,60,Monday,Mon,2010060,Y,N,Not a Holiday,N,N,N,N,2/28/2010,3/6/2010,3/1/2010,3/6/2010,2/28/2010,3/6/2010,1,10,10,March,Mar,3/1/2010,3/31/2010,3,2010/03,1,1/1/2010,3/31/2010,2010Q1,Q1,6,2,2010,201006,2010Q2
20100302,Normal,3/2/2010,2010,1/1/2010,12/31/2010,3,2,61,61,Tuesday,Tue,2010061,Y,N,Not a Holiday,N,N,N,N,2/28/2010,3/6/2010,3/1/2010,3/6/2010,2/28/2010,3/6/2010,1,10,10,March,Mar,3/1/2010,3/31/2010,3,2010/03,1,1/1/2010,3/31/2010,2010Q1,Q1,6,2,2010,201006,2010Q2
20100303,Normal,3/3/2010,2010,1/1/2010,12/31/2010,4,3,62,62,Wednesday,Wed,2010062,Y,N,Not a Holiday,N,N,N,N,2/28/2010,3/6/2010,3/1/2010,3/6/2010,2/28/2010,3/6/2010,1,10,10,March,Mar,3/1/2010,3/31/2010,3,2010/03,1,1/1/2010,3/31/2010,2010Q1,Q1,6,2,2010,201006,2010Q2
20100304,Normal,3/4/2010,2010,1/1/2010,12/31/2010,5,4,63,63,Thursday,Thu,2010063,Y,N,Not a Holiday,N,N,N,N,2/28/2010,3/6/2010,3/1/2010,3/6/2010,2/28/2010,3/6/2010,1,10,10,March,Mar,3/1/2010,3/31/2010,3,2010/03,1,1/1/2010,3/31/2010,2010Q1,Q1,6,2,2010,201006,2010Q2
20100305,Normal,3/5/2010,2010,1/1/2010,12/31/2010,6,5,64,64,Friday,Fri,2010064,Y,N,Not a Holiday,N,N,N,N,2/28/2010,3/6/2010,3/1/2010,3/6/2010,2/28/2010,3/6/2010,1,10,10,March,Mar,3/1/2010,3/31/2010,3,2010/03,1,1/1/2010,3/31/2010,2010Q1,Q1,6,2,2010,201006,2010Q2
20100306,Normal,3/6/2010,2010,1/1/2010,12/31/2010,7,6,65,65,Saturday,Sat,2010065,N,N,Not a Holiday,Y,N,N,N,2/28/2010,3/6/2010,3/1/2010,3/6/2010,2/28/2010,3/6/2010,1,10,10,March,Mar,3/1/2010,3/31/2010,3,2010/03,1,1/1/2010,3/31/2010,2010Q1,Q1,6,2,2010,201006,2010Q2
