client_id,outcome,confidence,review_status
C00000191,Good,0.88,Review Not Required
C00000192,Good,0.95,Review Not Required
C00000193,Bad,0.83,Review Not Required
C00000194,Bad,0.8,Review Not Required
C00000195,Bad,0.8,Review Not Required
C00000196,Bad,0.92,Review Not Required
C00000197,Bad,0.95,Review Not Required
C00000198,Good,0.93,Review Not Required
C00000199,Bad,0.99,Review Not Required
C00000200,Bad,0.84,Review Not Required
C00000201,Good,0.74,Review Required
C00000202,Good,0.87,Review Not Required
C00000203,Bad,0.84,Review Not Required
C00000204,Bad,0.83,Review Not Required
C00000205,Good,0.92,Review Not Required
C00000206,Good,0.73,Review Required
C00000207,Good,0.91,Review Not Required
C00000208,Good,0.86,Review Not Required
C00000209,Bad,0.92,Review Not Required
C00000210,Good,0.75,Review Required
C00000211,Bad,0.92,Review Not Required
C00000212,Good,0.92,Review Not Required
C00000215,Bad,0.92,Review Not Required
C00000216,Bad,0.91,Review Not Required
C00000217,Good,0.81,Review Not Required
C00000218,Good,0.81,Review Not Required
C00000219,Bad,0.87,Review Not Required
C00000221,Good,0.93,Review Not Required
C00000222,Bad,0.94,Review Not Required
C00000223,Bad,0.95,Review Not Required
C00000224,Bad,0.98,Review Not Required
C00000225,Bad,0.78,Review Required
C00000226,Good,0.86,Review Not Required
C00000227,Bad,0.93,Review Not Required
C00000228,Good,0.96,Review Not Required
C00000229,Good,0.89,Review Not Required
C00000230,Good,0.75,Review Required
C00000231,Bad,0.98,Review Not Required
C00000232,Good,0.86,Review Not Required
C00000233,Bad,0.8,Review Not Required
C00000234,Bad,0.84,Review Not Required
C00000235,Bad,0.89,Review Not Required
C00000236,Good,0.95,Review Not Required
C00000237,Good,0.84,Review Not Required
C00000238,Bad,0.83,Review Not Required
C00000239,Bad,0.83,Review Not Required
C00000240,Bad,0.74,Review Required
C00000241,Bad,0.93,Review Not Required
C00000242,Good,0.76,Review Required
C00000243,Good,0.79,Review Required
C00000246,Bad,0.93,Review Not Required
C00000247,Bad,0.86,Review Not Required
C00000248,Good,0.82,Review Not Required
C00000249,Bad,0.84,Review Not Required
C00000250,Good,0.8,Review Not Required
C00000251,Bad,0.95,Review Not Required
C00000252,Good,0.93,Review Not Required
C00000253,Bad,0.86,Review Not Required
C00000254,Bad,0.97,Review Not Required
C00000255,Bad,0.79,Review Required
C00000256,Bad,0.81,Review Not Required
C00000257,Bad,0.9,Review Not Required
C00000258,Bad,0.84,Review Not Required
C00000259,Good,0.88,Review Not Required
C00000260,Good,0.8,Review Not Required
C00000261,Bad,0.8,Review Not Required
C00000262,Bad,0.81,Review Not Required
C00000263,Good,0.85,Review Not Required
C00000264,Good,0.86,Review Not Required
C00000265,Bad,0.72,Review Required
C00000266,Bad,0.89,Review Not Required
C00000267,Good,0.93,Review Not Required
C00000268,Good,0.75,Review Required
C00000269,Bad,0.78,Review Required
C00000270,Good,0.94,Review Not Required
C00000271,Good,0.95,Review Not Required
C00000272,Good,0.91,Review Not Required
C00000273,Good,0.93,Review Not Required
C00000274,Good,0.9,Review Not Required
C00000275,Good,0.8,Review Not Required
C00000276,Good,0.8,Review Not Required
C00000277,Good,0.94,Review Not Required
C00000278,Good,0.78,Review Required
C00000279,Good,0.93,Review Not Required
C00000280,Good,0.88,Review Not Required
C00000282,Good,0.73,Review Required
C00000283,Good,0.91,Review Not Required
C00000284,Good,0.91,Review Not Required
C00000285,Good,1,Review Not Required
C00000286,Bad,0.87,Review Not Required
C00000287,Bad,0.87,Review Not Required
C00000288,Good,0.81,Review Not Required
C00000289,Good,0.83,Review Not Required
C00000290,Good,0.91,Review Not Required
C00000291,Good,0.8,Review Not Required
C00000292,Good,0.93,Review Not Required
C00000293,Bad,0.94,Review Not Required
C00000294,Good,0.96,Review Not Required
C00000295,Bad,1,Review Not Required
C00000296,Bad,0.9,Review Not Required
C00000297,Bad,0.82,Review Not Required
C00000298,Bad,0.88,Review Not Required
C00000300,Bad,0.83,Review Not Required
C00000301,Good,0.89,Review Not Required
C00000302,Bad,0.87,Review Not Required
C00000303,Bad,0.86,Review Not Required
C00000304,Bad,0.9,Review Not Required
C00000305,Bad,0.87,Review Not Required
C00000308,Good,0.83,Review Not Required
C00000309,Bad,0.93,Review Not Required
C00000310,Good,0.85,Review Not Required
C00000311,Bad,0.84,Review Not Required
C00000312,Good,0.97,Review Not Required
C00000313,Good,0.94,Review Not Required
C00000314,Good,0.83,Review Not Required
C00000315,Good,0.73,Review Required
C00000316,Bad,0.83,Review Not Required
C00000317,Good,0.98,Review Not Required
C00000318,Bad,0.83,Review Not Required
C00000319,Good,0.75,Review Required
C00000320,Good,0.82,Review Not Required
C00000321,Good,0.94,Review Not Required
C00000322,Bad,0.83,Review Not Required
C00000323,Good,0.87,Review Not Required
C00000324,Bad,0.77,Review Required
C00000325,Bad,0.97,Review Not Required
C00000326,Good,0.75,Review Required
C00000327,Bad,0.81,Review Not Required
C00000328,Bad,0.82,Review Not Required
C00000329,Good,0.8,Review Not Required
C00000330,Bad,0.85,Review Not Required
C00000331,Bad,0.94,Review Not Required
C00000332,Bad,0.9,Review Not Required
C00000333,Good,0.82,Review Not Required
C00000334,Good,0.86,Review Not Required
C00000335,Good,0.85,Review Not Required
C00000336,Bad,0.89,Review Not Required
C00000337,Bad,0.92,Review Not Required
C00000338,Bad,0.88,Review Not Required
C00000339,Good,0.91,Review Not Required
C00000340,Good,0.94,Review Not Required
C00000341,Bad,0.92,Review Not Required
C00000342,Good,0.86,Review Not Required
C00000343,Bad,1,Review Not Required
C00000344,Good,0.77,Review Required
C00000345,Bad,0.83,Review Not Required
C00000346,Bad,0.95,Review Not Required
C00000347,Bad,0.81,Review Not Required
C00000348,Bad,0.94,Review Not Required
C00000349,Bad,0.74,Review Required
C00000350,Bad,0.74,Review Required
C00000351,Bad,0.97,Review Not Required
C00000352,Good,0.95,Review Not Required
C00000353,Good,0.98,Review Not Required
C00000354,Good,0.94,Review Not Required
C00000355,Good,0.77,Review Required
C00000356,Good,0.82,Review Not Required
C00000357,Good,0.81,Review Not Required
C00000358,Good,0.74,Review Required
C00000359,Good,0.92,Review Not Required
C00000360,Good,0.82,Review Not Required
C00000361,Good,0.95,Review Not Required
C00000362,Bad,0.85,Review Not Required
C00000363,Good,0.95,Review Not Required
C00000364,Good,0.89,Review Not Required
C00000365,Good,0.82,Review Not Required
C00000366,Good,0.8,Review Not Required
C00000367,Bad,0.74,Review Required
C00000368,Good,0.99,Review Not Required
C00000369,Bad,0.84,Review Not Required
C00000370,Bad,0.88,Review Not Required
C00000371,Good,0.83,Review Not Required
C00000372,Good,0.97,Review Not Required
C00000373,Bad,0.89,Review Not Required
C00000374,Bad,0.94,Review Not Required
C00000375,Good,0.75,Review Required
C00000376,Bad,0.84,Review Not Required
C00000378,Bad,0.77,Review Required
C00000379,Bad,0.76,Review Required
C00000380,Good,0.98,Review Not Required
C00000381,Bad,0.81,Review Not Required
C00000382,Bad,1,Review Not Required
C00000383,Bad,0.76,Review Required
C00000384,Good,0.89,Review Not Required
C00000385,Bad,0.92,Review Not Required
C00000386,Bad,0.76,Review Required
C00000387,Bad,0.8,Review Not Required
C00000388,Good,0.9,Review Not Required
C00000389,Good,0.91,Review Not Required
C00000390,Bad,0.81,Review Not Required
C00000391,Bad,0.78,Review Required
C00000392,Good,0.74,Review Required
C00000393,Bad,0.86,Review Not Required
C00000394,Bad,0.95,Review Not Required
C00000395,Good,0.83,Review Not Required
C00000396,Bad,0.84,Review Not Required
C00000397,Bad,0.95,Review Not Required
C00000398,Good,0.9,Review Not Required
C00000399,Good,0.85,Review Not Required
C00000400,Good,0.75,Review Required
C00000401,Good,0.84,Review Not Required
C00000402,Bad,0.87,Review Not Required
C00000403,Good,0.74,Review Required
C00000404,Good,0.85,Review Not Required
C00000405,Bad,0.85,Review Not Required
C00000406,Bad,0.93,Review Not Required
C00000407,Good,0.85,Review Not Required
C00000408,Good,1,Review Not Required
C00000409,Good,0.93,Review Not Required
C00000410,Good,0.97,Review Not Required
C00000411,Bad,0,Review Required
C00000412,Bad,1,Review Not Required
C00000413,Good,0.98,Review Not Required
C00000414,Good,0.88,Review Not Required
C00000415,Bad,0.93,Review Not Required
C00000416,Good,0.83,Review Not Required
C00000417,Bad,0.76,Review Required
C00000418,Bad,0.73,Review Required
C00000419,Good,0.88,Review Not Required
C00000420,Bad,0.81,Review Not Required
C00000421,Good,0.95,Review Not Required
C00000422,Good,0.95,Review Not Required
C00000423,Bad,0.88,Review Not Required
C00000424,Good,0.88,Review Not Required
C00000425,Bad,0.74,Review Required
C00000426,Good,0.95,Review Not Required
C00000427,Bad,0.73,Review Required
C00000428,Bad,0.83,Review Not Required
C00000429,Bad,0.99,Review Not Required
C00000430,Good,0.88,Review Not Required
C00000431,Bad,0.78,Review Required
C00000432,Bad,0.92,Review Not Required
C00000433,Bad,0.81,Review Not Required
C00000434,Good,0.89,Review Not Required
C00000435,Bad,0.98,Review Not Required
C00000436,Bad,0.93,Review Not Required
C00000437,Good,0.82,Review Not Required
C00000438,Good,0.82,Review Not Required
C00000439,Bad,0.94,Review Not Required
C00000440,Bad,0.82,Review Not Required
C00000441,Good,0.94,Review Not Required
C00000442,Bad,0.93,Review Not Required
C00000443,Bad,0.95,Review Not Required
C00000444,Good,0.78,Review Required
C00000445,Bad,0.83,Review Not Required
C00000446,Bad,0.88,Review Not Required
C00000447,Good,0.9,Review Not Required
C00000448,Good,0.83,Review Not Required
C00000450,Good,0.85,Review Not Required
C00000451,Good,0.97,Review Not Required
C00000452,Bad,0.86,Review Not Required
C00000453,Bad,0.81,Review Not Required
C00000454,Good,0.78,Review Required
C00000455,Bad,1,Review Not Required
C00000456,Bad,0.95,Review Not Required
C00000457,Bad,0.8,Review Not Required
C00000458,Bad,0.92,Review Not Required
C00000459,Bad,0.93,Review Not Required
C00000461,Good,0.82,Review Not Required
C00000462,Good,0.8,Review Not Required
C00000463,Bad,0.89,Review Not Required
C00000464,Good,0.99,Review Not Required
C00000465,Good,0.83,Review Not Required
C00000466,Bad,0.87,Review Not Required
C00000467,Good,0.94,Review Not Required
C00000468,Good,0.82,Review Not Required
C00000469,Good,0.88,Review Not Required
C00000470,Bad,0.85,Review Not Required
C00000471,Good,0.91,Review Not Required
C00000472,Bad,0.9,Review Not Required
C00000473,Bad,0.73,Review Required
C00000474,Good,0.94,Review Not Required
C00000476,Bad,1,Review Not Required
C00000477,Bad,0.8,Review Not Required
C00000478,Good,0.95,Review Not Required
C00000479,Bad,0.89,Review Not Required
C00000480,Bad,0.96,Review Not Required
C00000481,Bad,0.76,Review Required
C00000482,Good,0.91,Review Not Required
C00000483,Good,0.76,Review Required
C00000484,Bad,0.81,Review Not Required
C00000485,Good,0.99,Review Not Required
C00000486,Bad,0.81,Review Not Required
C00000487,Bad,0.94,Review Not Required
C00000488,Good,0.86,Review Not Required
C00000489,Good,0.73,Review Required
C00000490,Bad,0.72,Review Required
C00000491,Bad,0,Review Required
C00000492,Good,0.8,Review Not Required
C00000493,Bad,0.93,Review Not Required
C00000494,Bad,0.92,Review Not Required
C00000495,Bad,0.94,Review Not Required
C00000496,Bad,0.92,Review Not Required
C00000497,Bad,0.85,Review Not Required
C00000498,Good,0.94,Review Not Required
C00000499,Bad,0.89,Review Not Required
C00000500,Good,0.76,Review Required
C00000501,Good,0.95,Review Not Required
C00000502,Bad,0.91,Review Not Required
C00000503,Good,0.83,Review Not Required
C00000504,Good,0.83,Review Not Required
C00000505,Bad,0.91,Review Not Required
C00000506,Good,0.78,Review Required
C00000507,Bad,0.92,Review Not Required
C00000508,Good,0.78,Review Required
C00000509,Bad,0.86,Review Not Required
C00000510,Bad,0.97,Review Not Required
C00000511,Good,0.93,Review Not Required
C00000512,Good,0.93,Review Not Required
C00000513,Good,0.84,Review Not Required
C00000514,Good,0.83,Review Not Required
C00000515,Good,0.9,Review Not Required
C00000516,Good,0.77,Review Required
C00000517,Bad,0.86,Review Not Required
C00000518,Good,0.9,Review Not Required
C00000519,Bad,0.91,Review Not Required
C00000520,Good,0.95,Review Not Required
C00000521,Bad,0.85,Review Not Required
C00000522,Bad,0.81,Review Not Required
C00000523,Good,0.87,Review Not Required
C00000524,Good,0.76,Review Required
C00000525,Bad,0.85,Review Not Required
C00000526,Bad,0.84,Review Not Required
C00000527,Good,0.74,Review Required
C00000528,Good,0.84,Review Not Required
C00000529,Bad,0.98,Review Not Required
C00000530,Good,0.93,Review Not Required
C00000531,Good,0.87,Review Not Required
C00000532,Good,0.77,Review Required
C00000533,Good,0.75,Review Required
C00000534,Good,0.95,Review Not Required
C00000535,Good,0.99,Review Not Required
C00000536,Good,0.88,Review Not Required
C00000537,Bad,0.79,Review Required
C00000538,Bad,0.8,Review Not Required
C00000540,Good,0.92,Review Not Required
C00000541,Good,0.92,Review Not Required
C00000542,Good,0.87,Review Not Required
C00000543,Bad,0.95,Review Not Required
C00000544,Good,0.98,Review Not Required
C00000545,Good,0.88,Review Not Required
C00000546,Good,0.97,Review Not Required
C00000547,Good,0.85,Review Not Required
C00000548,Bad,0.87,Review Not Required
C00000550,Good,0.84,Review Not Required
C00000551,Bad,0.74,Review Required
C00000552,Good,0.89,Review Not Required
C00000553,Bad,0.76,Review Required
C00000554,Bad,0.8,Review Not Required
C00000555,Bad,0.87,Review Not Required
C00000556,Bad,0.81,Review Not Required
C00000557,Good,0.96,Review Not Required
C00000558,Bad,0.8,Review Not Required
C00000559,Good,1,Review Not Required
C00000560,Good,0.74,Review Required
C00000561,Bad,0.86,Review Not Required
C00000562,Bad,0.77,Review Required
C00000563,Good,0.92,Review Not Required
C00000564,Good,0.93,Review Not Required
C00000565,Good,0.93,Review Not Required
C00000566,Good,0.96,Review Not Required
C00000567,Bad,0.84,Review Not Required
C00000568,Good,0.92,Review Not Required
C00000569,Bad,0.85,Review Not Required
C00000570,Bad,0.78,Review Required
C00000571,Good,0.95,Review Not Required
C00000572,Bad,1,Review Not Required
C00000573,Bad,0.95,Review Not Required
C00000574,Bad,0.85,Review Not Required
C00000575,Good,0.96,Review Not Required
C00000576,Good,0.89,Review Not Required
C00000577,Bad,0.87,Review Not Required
C00000578,Bad,0.81,Review Not Required
C00000579,Bad,0.9,Review Not Required
C00000581,Good,0.86,Review Not Required
C00000582,Good,0.97,Review Not Required
C00000583,Good,0.84,Review Not Required
C00000584,Bad,0.89,Review Not Required
C00000585,Good,1,Review Not Required
C00000586,Bad,0.89,Review Not Required
C00000587,Bad,0.99,Review Not Required
C00000588,Bad,0.94,Review Not Required
C00000589,Bad,0.95,Review Not Required
C00000590,Good,0.83,Review Not Required
C00000591,Bad,0.87,Review Not Required
C00000592,Good,0.98,Review Not Required
C00000593,Good,0.84,Review Not Required
C00000596,Bad,0.9,Review Not Required
C00000597,Bad,0.99,Review Not Required
C00000598,Good,0.96,Review Not Required
C00000599,Bad,0.84,Review Not Required
C00000601,Bad,0.94,Review Not Required
C00000602,Bad,0.74,Review Required
C00000603,Good,0.82,Review Not Required
C00000604,Good,0.73,Review Required
C00000605,Good,0.72,Review Required
C00000606,Good,0.84,Review Not Required
C00000607,Good,0.73,Review Required
C00000608,Good,0.95,Review Not Required
C00000609,Bad,0.88,Review Not Required
C00000610,Bad,0.99,Review Not Required
C00000611,Bad,0.76,Review Required
C00000612,Good,0.83,Review Not Required
C00000613,Bad,0.78,Review Required
C00000614,Good,0.97,Review Not Required
C00000615,Good,0.83,Review Not Required
C00000616,Good,0.81,Review Not Required
C00000617,Bad,0.95,Review Not Required
C00000618,Bad,0.9,Review Not Required
C00000619,Bad,0.8,Review Not Required
C00000620,Bad,0.72,Review Required
C00000621,Good,0.86,Review Not Required
C00000622,Good,0.96,Review Not Required
C00000623,Good,0.9,Review Not Required
C00000624,Bad,0.91,Review Not Required
C00000625,Bad,0.83,Review Not Required
C00000626,Good,0.88,Review Not Required
C00000627,Good,0.93,Review Not Required
C00000628,Bad,0.81,Review Not Required
C00000629,Bad,0.9,Review Not Required
C00000630,Bad,0.95,Review Not Required
C00000631,Good,0.95,Review Not Required
C00000632,Good,0.99,Review Not Required
C00000633,Bad,0.91,Review Not Required
C00000635,Bad,0.76,Review Required
C00000636,Good,0.83,Review Not Required
C00000637,Good,0.95,Review Not Required
C00000638,Bad,0.81,Review Not Required
C00000639,Bad,0.98,Review Not Required
C00000640,Good,0.85,Review Not Required
C00000641,Good,0.94,Review Not Required
C00000642,Good,0.92,Review Not Required
C00000643,Bad,0.87,Review Not Required
C00000644,Good,0.78,Review Required
C00000645,Good,0.92,Review Not Required
C00000646,Good,0.86,Review Not Required
C00000647,Good,0.78,Review Required
C00000648,Bad,0.89,Review Not Required
C00000649,Good,0.87,Review Not Required
C00000651,Bad,0.91,Review Not Required
C00000652,Bad,0.83,Review Not Required
C00000653,Bad,0.95,Review Not Required
C00000654,Good,0.8,Review Not Required
C00000655,Bad,0.72,Review Required
C00000656,Bad,0.82,Review Not Required
C00000657,Good,0.88,Review Not Required
C00000658,Bad,0.84,Review Not Required
C00000659,Good,0.82,Review Not Required
C00000660,Bad,0.79,Review Required
C00000661,Good,0.95,Review Not Required
C00000662,Good,0.85,Review Not Required
C00000663,Good,0.89,Review Not Required
C00000664,Good,0.82,Review Not Required
C00000665,Good,0.97,Review Not Required
C00000666,Good,0.85,Review Not Required
C00000667,Good,0.81,Review Not Required
C00000668,Good,0.8,Review Not Required
C00000669,Good,0.89,Review Not Required
C00000670,Good,0.91,Review Not Required
C00000671,Good,0.73,Review Required
C00000672,Bad,0.93,Review Not Required
C00000673,Good,0.94,Review Not Required
C00000674,Good,0.83,Review Not Required
C00000675,Bad,0.81,Review Not Required
C00000676,Good,0.88,Review Not Required
C00000677,Good,0.78,Review Required
C00000678,Good,0.86,Review Not Required
C00000679,Good,0.94,Review Not Required
C00000680,Good,0.87,Review Not Required
C00000681,Bad,0.79,Review Required
C00000682,Good,0.83,Review Not Required
C00000683,Bad,0.94,Review Not Required
C00000684,Good,0.97,Review Not Required
C00000685,Good,0.8,Review Not Required
C00000686,Good,0.96,Review Not Required
C00000687,Bad,0.97,Review Not Required
C00000688,Bad,0.92,Review Not Required
C00000689,Bad,0.79,Review Required
C00000690,Good,0.81,Review Not Required
C00000691,Good,0.81,Review Not Required
C00000692,Good,0.85,Review Not Required
C00000693,Bad,0.92,Review Not Required
C00000694,Good,0.72,Review Required
C00000695,Good,0.92,Review Not Required
C00000696,Bad,0.77,Review Required
C00000697,Good,0.92,Review Not Required
C00000698,Good,0.82,Review Not Required
C00000699,Bad,0.8,Review Not Required
C00000700,Good,0.92,Review Not Required
C00000702,Bad,0.94,Review Not Required
C00000703,Good,0.95,Review Not Required
C00000704,Good,0.99,Review Not Required
C00000705,Good,1,Review Not Required
C00000706,Bad,0.95,Review Not Required
C00000707,Good,0.97,Review Not Required
C00000708,Bad,0.75,Review Required
C00000709,Good,0.93,Review Not Required
C00000710,Good,0.99,Review Not Required
C00000711,Bad,0.83,Review Not Required
C00000712,Bad,0.95,Review Not Required
C00000713,Bad,0.9,Review Not Required
C00000714,Good,0.94,Review Not Required
C00000715,Good,0.85,Review Not Required
C00000716,Bad,0.84,Review Not Required
C00000717,Good,0.84,Review Not Required
C00000718,Good,0.86,Review Not Required
C00000719,Good,0.76,Review Required
C00000720,Good,0.83,Review Not Required
C00000721,Good,1,Review Not Required
C00000722,Bad,0.92,Review Not Required
C00000723,Good,0.94,Review Not Required
C00000724,Good,1,Review Not Required
C00000725,Good,0.85,Review Not Required
C00000726,Good,0.82,Review Not Required
C00000727,Good,0.88,Review Not Required
C00000728,Good,0.85,Review Not Required
C00000729,Bad,0.72,Review Required
C00000730,Good,0.99,Review Not Required
C00000731,Good,0.94,Review Not Required
C00000732,Bad,0.86,Review Not Required
C00000733,Good,0.98,Review Not Required
C00000734,Good,0.93,Review Not Required
C00000735,Good,0.94,Review Not Required
C00000736,Good,0.86,Review Not Required
C00000737,Good,0.77,Review Required
C00000738,Bad,0.96,Review Not Required
C00000739,Bad,0.91,Review Not Required
C00000740,Good,0.83,Review Not Required
C00000741,Good,0.81,Review Not Required
C00000742,Good,0.75,Review Required
C00000743,Good,0.84,Review Not Required
C00000744,Bad,0,Review Required
C00000745,Good,0.89,Review Not Required
C00000746,Bad,0.92,Review Not Required
C00000747,Good,0.9,Review Not Required
C00000748,Bad,0.92,Review Not Required
C00000749,Bad,0.84,Review Not Required
C00000750,Bad,0.75,Review Required
C00000751,Bad,0.89,Review Not Required
C00000752,Bad,0.93,Review Not Required
C00000753,Good,0.81,Review Not Required
C00000754,Good,0.81,Review Not Required
C00000755,Good,0.84,Review Not Required
C00000756,Bad,0.82,Review Not Required
C00000757,Bad,0.88,Review Not Required
C00000758,Bad,0.8,Review Not Required
C00000759,Good,0.9,Review Not Required
C00000760,Bad,0.83,Review Not Required
C00000762,Bad,0.77,Review Required
C00000763,Bad,0.81,Review Not Required
C00000764,Good,0.99,Review Not Required
