clientid,maid,device_type,sha1_hashed_email,collection_timestamp,ip_address,source_id
C00000031,bt5ux59e-1823-25p0-fd4s-0yva3a505t5n,android,91dfa616abfc9e64f64305d76895887e813b549a,1562801611000,63.649.04.795,14
C00000032,26xhnbcp-3j95-699s-jmie-8jf7240b0oeb,android,2d9bb6e625ba95d446ba16c02797d3a83ad1e982,1598398411000,83.162.56.526,10
C00000033,896rp7co-c404-7udw-ph7m-8nj708e7iu5n,android,553edfca52928ca3e0af1b8e1ee804cebda549bf,1583710411000,67.224.58.751,4
C00000036,52W5EOV6-0C61-23MJ-6Y7R-MU1NKC2LL6T8,ios,ecf61a5a014f42ee536437b403069a2e6c59b68e,1583537611000,77.485.63.311,15
C00000037,l9y6n3co-9o9y-6138-ows2-w97j06844m9e,android,aad94ce503a961e842c40656db1566eca4e5fcba,1573515211000,94.633.91.825,8
C00000038,297yo82t-t3ir-dpzx-4ki9-g5gdo4w0n2ik,android,e685dd97f6c557c2f1f846e09e160e3224fcb166,1572824011000,92.947.57.493,2
C00000039,972jrww8-3183-03j1-c5h3-b2en26dk50vo,android,4a244dd6be08f1189d2d34659615a5748e35eb17,1535844811000,56.831.95.132,6
C00000040,ub130puk-f75h-11pi-0d7v-xox55129kh9y,android,b1506316c452eedc8915add5b7b50d374cc1f769,1583105611000,49.083.82.702,13
C00000041,3M1TRO23-B2HU-1L0D-ZH6G-O7WTAFJ1Q4G9,ios,f01512748e3a7740d0dd4107c6554f0531058f3f,1590622411000,91.281.48.339,15
C00000042,pavq61nx-bj37-vr19-8064-ol0w4ou8ri3z,android,e6e8fd4486b08cbd9b70d309bb2ae304ebe8d78d,1558654411000,13.426.07.141,3
C00000043,y8l9hm8a-ksu8-171v-5qj4-dckl8nhf0s99,android,42283c7e859ef1f4ccbceab0fb5e7d7fcba5db23,1554852811000,44.120.16.170,12
C00000044,o8vl8j30-bnq0-u553-2wyd-63u8d3yg9x1i,android,37290894a9ee43b168d0524913ec0e1dccc95a18,1541115211000,59.747.86.587,3
C00000045,Z4EH3VA9-TIKR-ISXQ-062I-C96PJNW99415,ios,dc7f7c42a551193d89f3feb66cfaa8550dcb24e3,1583364811000,56.859.24.987,13
C00000046,77p4z9jp-ens4-68df-kq3c-nnc5s49opt3q,android,8e7bea87cfbea0f983bef5197a2c021924cfb7f3,1531611211000,15.680.46.626,11
C00000047,59c818h1-5n2h-wut9-ggsv-5i7f0d6cu100,android,7b9b6a8f2452db7c3480123bf198a0e1bc2a55a1,1519428811000,67.633.27.158,12
C00000048,XC6X0G95-3130-L4FU-CM2B-0JE11D0XDJJ5,ios,d92269d45fc8f4952374edf489f7a20ca2e84473,1530747211000,29.129.51.870,4
C00000049,g7hgsj2t-giay-0wtz-mi8x-1w3qv8u31x64,android,d47dcc1c7503a573fcccb9e44689e79ab1364203,1565307211000,41.866.97.514,3
C00000050,78au8516-c3k8-u474-54q1-2ms57q8v5695,android,086e435eb3d653f0f458bb2fce18e8ed2487586f,1551051211000,44.452.67.267,13
C00000051,06GT1578-37DZ-FX9C-43MY-24S6QP244J7H,ios,55f0e376dbd9eab0db134e9146e22bc4609ac137,1590363211000,87.516.93.579,9
C00000052,h48930ny-h585-9iwm-r610-wliic7z222u4,android,3c22ed4064cbee592903c4b30a1699d7495475db,1599867211000,49.830.52.937,15
C00000053,b9iunnk9-3918-6wny-4g3n-p38xc4b69bt2,android,e9e18c8b7bc265690183219ef0cbf897e331ac20,1563838411000,76.017.10.167,5
C00000055,akd9sbb6-4b38-6644-w7x5-1s9qb3819qwl,android,039c78fe975fda898b77e89c592f2419973358af,1602459211000,64.183.95.315,12
C00000056,QG99VT0P-58F2-9GWM-C67C-8310Q21L23Y8,ios,13979951e3c57466a6a34cea29a8d2b0adb6b4f4,1603064011000,52.850.95.523,16
C00000057,97f9op51-8xf0-l6s6-s21y-3l0z80upa67q,android,f06e33d82cfbf0201262adb571184a625786e003,1526340811000,71.080.98.313,6
C00000058,45b70h58-v3i8-qg96-7lp4-oomv4zkd423m,android,1b442dd3ea0005c3181fc3e9ab2f439ece48a9cd,1552433611000,84.448.93.099,4
C00000059,D051FLZ0-L6LX-19W3-YCK4-881720JTS86M,ios,0b44118944b61e5ec61a74c0ffee0107d02aecb4,1544571211000,16.485.19.463,7
C00000060,900tr943-mbhq-b3w7-600c-446o8u5nk5x9,android,90f6b6aa1e0cc9a7f3f964847c246b7b490d1d45,1566948811000,61.368.30.427,11
C00000061,jdi9dzz1-x78g-0nhm-i953-hr2c1bv606ts,android,5c90365fafe31722181b4b7761ed3757a6ecc54e,1548632011000,17.935.74.348,3
C00000062,0ta60mdv-3t6l-7nu7-z63f-p8lp5455op34,android,13b0ad56bbefae9a57c55aa7d971102d922b9c8a,1586475211000,15.226.70.773,9
C00000063,31lr93o0-dubo-yvua-9s83-ivb397f676ie,android,dfccd67b0743332b0a4fbed249fc95306a3506a4,1596411211000,69.751.57.358,15
C00000064,5nfc2x4v-8p6t-g8ou-p2e9-7s8j49o360v8,android,9ee3e145f106f42c39ee04e399f1b6c66c8b883c,1540164811000,33.752.23.154,11
C00000065,JU4FE25W-6S7W-8MV7-CV5K-NX9TQ630XWJ0,ios,47418611648e2d6fb4ace0192318beb60a094be6,1541201611000,81.878.69.366,14
C00000066,q2rvaatg-q66d-16qr-hgwx-v4r91smo02yr,android,b2f1e127c21bba84444cab4df9e0886eade3dba0,1536536011000,96.517.31.266,8
C00000067,I0EWEYMN-6GD2-5286-7H74-Z99KOMRI4K42,ios,f2732d02f0151306d3575d2dc983ee0099c28a8a,1595201611000,64.751.06.213,16
C00000068,26085h11-3t4n-att0-64v5-1rrmzp30lv6s,android,1c56d3e6e41894e5d807ea21c74f325bf77b3108,1597275211000,82.313.15.243,13
C00000070,6DUX7R6W-5PM7-ESBE-630C-Y5460V910MM3,ios,89e4ae6ffb2f0eb2543949cd2989aa3cce9212d4,1564529611000,98.000.70.702,4
C00000071,D27N9E37-53E9-P13Q-R858-84YAIO79E58X,ios,0f535710a7105f75fe77708d2739c4c3148a6302,1554248011000,82.909.67.754,13
C00000072,176W93ZK-259B-FT41-F098-V77E053EVFOL,ios,7ed27a19ef9c5510cd9542a3b947d018ac9d9b46,1560382411000,18.167.22.853,17
C00000073,4tob450r-0e0j-a88h-27tw-ilfe5pzs99ca,android,d6322c92be4a17e16076a45d7db17ddbb5846103,1594078411000,63.835.27.054,7
C00000074,95vw68x5-26nu-7ui8-o1mu-rg96e84aumxv,android,6fbf411189c0f84a1d219acce847e8703c8ffd5c,1539905611000,24.463.26.152,10
C00000075,426LAS73-0RJ9-8V8Y-U4XD-BEM64E8E2U6T,ios,d025268a4809fbcea8e0a2693952e7ed5ad92c4a,1528328011000,25.997.82.993,8
C00000076,U90OYF28-74Y4-XJ63-MBV3-R8H1C07N1Y7O,ios,f5f626c867cbb71845a90daac89584ba76a3aa4d,1562110411000,13.418.92.612,12
C00000077,R26IP775-ROF5-Z8RE-Y3O6-QTQUIOK34698,ios,49b06f2693bdc9e6b3ae3657e11bf5c8a66bf332,1582846411000,96.419.83.970,8
C00000078,2P43X5N7-C6SN-2L19-472D-Z0L799EUNH47,ios,8760d399a5063e59295103edbd3d6387e617edc6,1592523211000,28.076.48.440,10
C00000079,07F013TT-4VEK-82S2-H3H1-PD244T081LUN,ios,73fc3c3f4ca81a6349664d0830c99e17c6879701,1525304011000,55.204.57.000,6
C00000080,7SL7V8GN-5PD7-13RE-VUSY-L7K1UCYY40UK,ios,53d92caf5249f963515604e4249ce081a629ee83,1533944011000,52.624.55.360,8
C00000081,J0KYPT0F-4K0R-MO26-8HQ8-0G551EO7X225,ios,81e3d37745a67de0aea63b4d32b0fbf5cfa3622a,1575070411000,62.345.34.187,2
C00000082,329U97E8-GE2F-AT05-AR9W-5D1A67586BOP,ios,671f8922b26a9b46afee9c82f4ff821755945384,1522884811000,25.933.83.021,10
C00000083,510J31M6-VFQ6-28X8-M64V-RA5C7W259Z69,ios,69520ec3dc31fb74c163c28b42ef0072f295b61e,1577057611000,40.263.36.846,8
C00000084,000497v7-zm9o-4gii-66w3-i3sb4r053f03,android,4bf2c501dfb9e4e0f6731ec0dd9c481f43c096a9,1537313611000,89.930.00.703,8
C00000085,3kr354i7-8rk1-0c9j-9962-82q09z73953a,android,dab1ea90e04ec2edf54243f72f9ae591da5bdb19,1581982411000,65.195.22.561,4
C00000086,OSA8XZ3G-6UM6-Y03T-6624-G6TC3A29U95E,ios,573717b067d10c032235e2da8213ab4e8a75b905,1568331211000,52.325.91.422,8
C00000087,0r24qfk9-z77c-ej7n-04kr-5yas0e7ki6dj,android,178ea6cb8e4d6f6bb433900e713dc93881420cc0,1565220811000,36.077.93.479,10
C00000089,v6z48sb0-15vj-d4ii-71i1-9v21m9g3yq39,android,446fcab4cc876542948221986c5ea0f518d8bb6c,1581636811000,32.363.19.114,17
C00000090,28j0616d-ln4v-3374-1n51-919p39b17y02,android,d58b2f05ffcc5e1386cd317526105ef07dd31009,1526427211000,12.983.12.106,11
C00000091,ytmgwg5x-a899-274f-s61d-rec6741u1c81,android,970905a3c4ff059c84ff5b7782dac8460a31174f,1547508811000,47.448.55.384,17
C00000092,7FHR9766-B3C1-583X-R484-OCH9K9I9I467,ios,a2175a44d5578c021f5034ec5484e1bfd3e331a1,1575070411000,83.175.13.761,7
C00000093,hq06o024-8t2j-8riw-31sb-9k21z3x938k0,android,167c6eac0c4aff4dea70bbf3c746a5a324edaa75,1588721611000,90.619.81.043,17
C00000094,680jxph0-y2b1-0asv-qe26-8yzl7316lp3j,android,6c2af59722a937dc77ec27606992934ea006a472,1600299211000,93.278.02.196,6
C00000095,VA5HLU0J-19LB-69V5-3FPZ-XUZ9HF59H7RL,ios,902f09a788daa3b10589a82d0b3dfc91d5416336,1528673611000,33.625.22.483,8
C00000096,5f0i495x-4f76-0rg7-g1j1-2jvp428y651j,android,91059a80bc733db53152c4ce473c40fcc3d7c6f0,1565825611000,86.372.10.968,8
C00000097,1r4ekf88-0701-ypz0-seh8-jgsxsyi44ych,android,4f9e561ffc3f532932300471139bf157d3254506,1519428811000,97.791.05.927,7
C00000098,294l19kn-341k-wh9e-jm7z-bq70d0yd7p78,android,e956c1ee1c1794bcd8b16069508f28f74834ee82,1539992011000,78.488.31.734,12
C00000099,6hctrojz-p0v5-r0gu-7570-if5t2b55p75y,android,f7ba40af302cd125014894ef0009c162a2976f8a,1528241611000,58.736.04.110,7
C00000100,YV943Q6F-530I-Y3U2-S2QW-HGX0X6O8CX84,ios,ed7083c3eb711c0fe192304b01b011715762a605,1552433611000,39.245.97.923,12
C00000101,G651B51Z-5H24-27S2-Q1B0-IB8IE5S1ORI6,ios,9313c25a653c5ad192c428d0643468a9e0103a0d,1558740811000,51.230.03.453,9
C00000102,5moq3imw-2frl-too0-735h-5cypzy509062,android,bf82c03317ba8803a99805f96689b718f35b6ffd,1557531211000,91.710.30.358,11
C00000103,5H458DIW-249J-85T0-SS16-8D68P24923QE,ios,efef6f69b648623568bc76d42db3f4da1fd53432,1553124811000,57.041.56.926,15
C00000105,2e1hfu8a-p0ns-9ntt-wttj-hd4j29vb7he9,android,edd8c48921493d718e000936d8122f5322e5862b,1598571211000,45.972.79.353,16
C00000106,6001ac3f-w977-qwo8-i8la-47cy562mhwi3,android,004fef6019a399eee2296c665dc23f060ed4d62e,1563924811000,28.194.91.794,2
C00000107,6t57lf5v-1aqq-9s0v-209s-as8rzs11q305,android,94a5bec6dc767b1b3fc4dd83224540f25e16331a,1551137611000,91.024.84.174,8
C00000108,u4ahje9u-53ou-i024-t595-1q0h568i8h5b,android,75ee1aa08f0fe11f7fbaebf94162ed4f62be0efd,1569713611000,51.728.30.160,1
C00000110,G5T88VYH-7RJD-7A82-6A8F-G32375X8C38I,ios,19140178dcf6b29a0dac360269c76fd3dfb401e5,1598052811000,71.700.01.684,8
C00000112,8MHGD11P-78CC-4PP0-44X6-FL56BW28P110,ios,dff5d93ba5694ef0250a28442b2803a62b59995c,1538091211000,99.518.66.453,10
C00000113,r6bskpc6-jav6-emci-dxi7-p7ynwgcdwh8j,android,33b51fc75b5dfc4b5f7c36268458c665d60d61a6,1546990411000,82.153.22.150,3
C00000114,lg6qdb2d-77x6-6pn1-525e-8ci7jqjp012r,android,8cb863bff9071a81613c7721ccf3d91ca0c77744,1589240011000,47.314.13.493,7
C00000115,th3xen5x-oy06-nk9q-43af-655dn6zt707d,android,16f7d9a2ea1c5c183df771fe3a1d810ff2d6e4c3,1544916811000,92.728.04.147,9
C00000116,JT5R5RTE-Y73U-4O30-DS1W-DNOS328D7932,ios,774e5b1e76400606808945bc9e873bfaa03dbadc,1549755211000,11.966.97.930,15
C00000117,I1J0R126-307A-T3FS-50J2-8PUR4260I5IY,ios,34db5c120b0159467093d12cb67e592020ab61d8,1537486411000,59.902.29.749,13
C00000118,b2s9t444-6sdt-2hu1-kq84-23zn896k44oc,android,65b267c6a8293373e62058084240f8a5e239532d,1602632011000,46.712.13.628,10
C00000119,72wiecb4-iz3u-0u8d-twbd-98e2j9nnh18l,android,eca9920bf25d445230222fbe37e7eab14e0d5fbe,1577662411000,42.229.19.616,12
C00000120,D0O46R60-S1BK-B655-W1T3-2S5PN8TO5CT5,ios,276b5114b284c8fabe71e52a7364325a60a615b3,1567553611000,57.733.11.832,3
C00000121,3NVW0258-IYU3-2G67-71WE-5O95163YK4U4,ios,44936e546fec04bbb213a72db393a3f3be5f6dd9,1530142411000,24.396.19.459,3
C00000122,S39MKD5O-50FY-HOS1-D0TX-4L818T50O19Q,ios,c33a1a7eb581d7ec09ecf910ad8490895155f625,1550360011000,73.441.00.882,3
C00000123,rkwq9qx8-8w22-5kvy-79gs-4ux1mcwl1yxa,android,b2712c38f1325038b70f96b57f3928968902e2f7,1564011211000,63.730.64.332,5
C00000124,CM0CX4F3-QST5-679T-3UC2-62Z74PY8LH2T,ios,7663c5e6168eec5a15d54752ff15a4adaf705ac2,1604619211000,90.037.99.823,15
C00000125,6NDO3TN0-06PY-568C-3HS6-XV0GVIQZ2O4U,ios,4fe25e75e3f88e87830008a8068a65ae883ba77b,1531697611000,99.282.97.263,14
C00000126,rp0w965u-yd9w-3qb2-b636-727qqi1wsgn2,android,9442bacef8468eb46ebeaaa4af6f4021364ca95d,1522366411000,38.003.90.988,15
C00000127,d11kwp61-33ys-lt06-6r7r-3btzen4aoqu8,android,26c911170dc52055319a15330b8005a9b38d08d8,1574120011000,32.052.95.376,17
C00000128,28KNY3RW-4219-E21I-4A1C-1Y160043V581,ios,31fef9591d98f75f4a7d1bf08e6f890b20be184d,1565480011000,58.215.85.371,9
C00000129,nw8g61z0-bjrw-m0z0-75i6-2lz990oljii7,android,e9eebba391a3e7a14526bb3fa0ed6b313da944c1,1545608011000,29.344.09.512,8
C00000130,kqnb3856-2t99-vx25-18ly-7a7j6lnd3t6t,android,00112b3542e99d55a41702fd6115033747590f2f,1557272011000,94.587.09.124,5
C00000131,7ZT3SKHB-Z4D0-2YNW-8984-5RRJ0UK9Q5O4,ios,8e903b8a7db4baf32a4cd4057a0537b3019cb209,1553988811000,37.894.87.940,4
C00000132,HZWKL2X0-PD4Y-GZKE-122M-E485SJ7NJ5QO,ios,319468f1cca16f8bc3e0f17c8f9fa92d1ba37da5,1590449611000,65.707.60.026,14
C00000134,1vm03b1t-3rt1-2355-gh4c-j44bo95yr4uk,android,dae9d6ea1c13410e6b749a9fb6576790645c10ca,1563838411000,86.681.72.787,10
C00000135,98xw5ao3-033v-81j7-1vk1-1l69yp5ylbp9,android,67bccdf896c77d5880fb52b1b75b874b7931c7ee,1528414411000,28.909.30.121,9
C00000136,W447ZJP6-Z3M7-40Z5-8PD7-65K68NJ8B4C7,ios,c2187f0497c05beb96f4e9bba1a86ebab90fb2dd,1541892811000,83.722.92.810,4
C00000137,p3em5y53-2i70-8gs8-y78o-1ht3l9z25gtb,android,018e5c48e528302ac860228502c60ebe7e1e42d8,1572824011000,46.894.41.871,10
C00000138,xogk3tj5-az8q-h987-59qw-wx3bq53p66k5,android,fed2bbeabe67ed7791d238af6b14958bc9e6dea3,1564270411000,57.830.04.282,9
C00000139,k6j3x655-0j51-251d-raf4-u94t4225xvmd,android,ed76a4991c50ab7d330418a391c474e9a90f10ef,1541201611000,53.598.46.154,5
C00000140,NW72H70Z-ZD1B-71KG-D309-5W3ME7N2725Z,ios,b5e3e6bc4c24d4acb329c0d7d117c9d3434db451,1588289611000,58.129.88.647,8
C00000141,3n426q58-j41y-m570-h6q7-3h778g0b132q,android,eefe1b1f94a2616d0f368ba4c77ac4ef874b1913,1603064011000,17.542.57.285,3
C00000142,94K65XGG-0QM1-54OI-P2S6-W163F4321L63,ios,f25dd47a1a784a291d42764d5cba07a187780d26,1563752011000,33.794.31.631,16
C00000143,di3x79z7-z6s7-1732-6b84-6y2xg3rtlx28,android,924189062aa2dfa7c26accfa6b614aa8a0288bf3,1598571211000,79.713.06.562,1
C00000144,CJ41UV71-U9LJ-RPVL-3P56-9BYQQMWC24GT,ios,e632f62db10d7d712d81ed3a7b8239e163ede551,1602545611000,81.291.70.639,14
C00000145,a7c2le02-rmp7-6acd-2489-t5ps3zf51yy6,android,713fc23c268d8f34ac4f111ae1e307059f2a114b,1568504011000,96.127.83.444,2
C00000146,j869qy69-x7o9-5wh7-zrl8-m390boycujvt,android,f6de82f4e438704108293f39f5fc6bb57fac22cd,1584660811000,19.546.20.413,9
C00000147,93JGU5GJ-O2W3-EDXQ-4EEU-YB1KI943DT5E,ios,8e3bd57379836a3e8087e8d22291e3bf7d27616c,1603668811000,27.083.82.662,4
C00000148,f40d79tz-l9pz-l8ro-7fui-30i2w3lrzk1d,android,7d068d4936bfcf5a92c8b1c98491d0d54270a3a4,1543016011000,46.881.16.804,16
C00000149,26UU95LU-UDC2-8A27-36O0-X862QCH5N50R,ios,2e42393a8bc09c95f03cb1dd26fb78f1b0ad731f,1583451211000,67.635.61.213,17
C00000150,9A35UL63-9273-7G4U-F040-G5F0BS282F20,ios,2c7e73f3bad5d7a5cd8c9c817b584956b7687854,1592955211000,40.331.44.281,10
C00000151,JMWYBF14-03WA-5M85-95O2-YJ5S87009BHW,ios,6280354a577a7793cb38fd3f7c22262d49fd8e0a,1528932811000,54.658.58.624,9
C00000152,8Y80ZBV3-6595-84R9-UAOU-7747464W24M1,ios,bd31998edb3b4b9ce16fac26f7a1e9943e28c065,1588808011000,35.928.21.630,5
C00000153,640228XG-TZZT-4D97-37QE-W3445DYCSJP1,ios,389a5de83822f9e8379fd5c11fe8fc78a326c2c4,1591745611000,35.231.07.572,17
C00000154,g6571r40-61w9-8582-diii-qkvnn0e45769,android,04742e14cd845f5356feb179003290ece77681be,1556926411000,78.102.35.126,7
C00000155,9604qw1e-7lsr-lww9-gn8o-30674gct8l8x,android,c1ef066bf2195d999a4cf0a61b1f599bfbf09a14,1595547211000,32.257.95.754,13
C00000156,3y7v643i-2o5t-5ozp-v7gx-e098mu7952k6,android,91a03a7e031921b0f733cd7d6ba836c3d19e701f,1525736011000,48.897.24.142,6
C00000157,8Q7RCXC3-DN42-7C85-128W-KWUL22IMPL9T,ios,dd828baa43a4d2e20a4cff03bd81c974452fe993,1539387211000,80.686.86.626,15
C00000158,b90zo08t-6l5m-fo4k-3o5w-5l1o2k8l5lsz,android,80d7ea3ab643d53e9dc99aa640a124712db34f0e,1557099211000,42.598.36.836,12
C00000159,I73T4W3G-VHG9-7896-U787-KNHT3134L8B7,ios,91fe24c804ef78d59c16290d26bc594f28e2e162,1524440011000,46.442.13.596,5
C00000160,t3avvnez-oljk-8g2j-jo9x-635o8n12x058,android,83f2351adcbec376926b6ed683a6e5fb5ee685bf,1573428811000,57.123.75.845,16
C00000161,60W5AH32-1XN8-GT16-28U9-5JZ22N0030YZ,ios,3fbe47b5515785f9113326e68ebce2aadc1645f1,1557358411000,48.387.60.014,11
C00000162,398j7404-en7d-8jk4-e473-663s1c0y9ckt,android,a6fa3e38e55d498a51374c8e5d75c493f4d042a3,1566776011000,70.691.12.025,14
C00000163,50Y8S4T1-588U-COEW-R31C-O546DHS0LKRM,ios,87bac908c25ce2e3f28d9be0c59404ea28f9ecf1,1524008011000,78.494.02.167,6
C00000164,13LQV0VJ-H702-BO0I-J85M-HBY68G62XI24,ios,c18dc418a2c7f2f3941dfef8efffc4c9cc550780,1575761611000,56.208.17.348,17
C00000165,VJ20HSPU-B18O-RF6C-I9O1-RSBW4WEII8E0,ios,ac1c3ea2227be3bad56e1973460799d89acb917e,1533166411000,99.320.26.488,2
C00000166,jj88zrwz-1c9c-d775-7p09-552fwzd63zc3,android,d2807b293cd9be95111643c9d2164f858f972051,1590017611000,27.913.30.711,10
C00000167,SS07DW17-BT43-IZ96-5K34-2O0OS5KBF007,ios,d1ce33cbe815947adf95c6cb85c9eb1ee9c19ae7,1558481611000,63.326.73.940,12
C00000168,3ZV76HS4-UT0O-53KO-F3PJ-T4HWOYXVH1N8,ios,cf645ddd4fd06d03575748fca568f2b1ddac096f,1533425611000,98.358.08.262,15
C00000169,T028M0PT-1BJX-B4BQ-A10B-E86EBUODXI3F,ios,a04bbf5bb147868ff01cc68818855c6c61d9c744,1524008011000,15.883.90.270,17
C00000170,38618C6P-BPVF-4948-W8XF-2PW0DZIT2GUM,ios,72c714832390ca19dbe17552aae54199d2f90eee,1522280011000,63.866.25.434,17
C00000171,25452ISN-K1QQ-50OV-N81L-0E027753KOY4,ios,9bf60de77bd7f7953d1a20bf05b5d5769d341745,1548891211000,71.334.53.558,10
C00000172,1s25fi63-t34c-728h-z7cb-lp7cn9zg62ad,android,735b0d4c14f57999d7923c3fd0508921454e2125,1583624011000,39.856.76.844,10
C00000173,m13vd726-53py-drgf-76c4-lh22lxeqrz4z,android,cacea4f2575f5bc6536d88c4f27ee7d00f67df48,1561246411000,23.909.85.899,2
C00000174,z1v65vxs-966h-40zj-tsdv-kl35n7ma2119,android,25c1de0168b911ec6f99a112553865634497f95d,1578094411000,17.863.24.990,14
C00000175,00N322XU-YH46-21Y2-DJIH-2QR806JV612J,ios,1b263c357f39a097bfa17431aeb9592990ef91e0,1578267211000,34.804.67.311,7
C00000176,FN947J7F-781B-R2WM-5B5G-5JZEMKQHBEXP,ios,ac09e5192a5e7b64a34d32435f7b3560bf27c2c4,1568417611000,35.936.80.665,9
C00000178,M5000U28-2903-7GXR-ORFR-V2DL4M73PJ3V,ios,7343830c8908dca5db9f3757f006b07c05f0e27e,1603150411000,14.074.91.736,6
C00000179,l46s7n6w-99pf-t27h-2sh4-evsmpq08609u,android,bd470422bdcc41ae4b72014a5258a6dc02436669,1562628811000,36.963.97.886,12
C00000180,6ZMN893J-MZ14-7960-S557-R693748309NN,ios,c45c6605b0b00fe4d300dd038c72c778e8cb2da6,1520897611000,58.363.52.393,9
